"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 11 13:49:15 CST 2024","Tue Jun 11 13:49:30 CST 2024","14911","test_cases.step_defs.bms","test_05_position_manage","","","","导入职位-模板内填写全部信息","E:\Wondersoft_WebUITest\test_cases\features\bms\position_manage.feature: 导入职位-模板内填写全部信息"
"passed","Tue Jun 11 13:47:28 CST 2024","Tue Jun 11 13:47:40 CST 2024","11811","test_cases.step_defs.bms","test_02_user_group","","","","手动新增用户","E:\Wondersoft_WebUITest\test_cases\features\bms\user_group.feature: 手动新增用户"
"passed","Tue Jun 11 13:50:21 CST 2024","Tue Jun 11 13:50:36 CST 2024","15193","test_cases.step_defs.bms","test_07_user_admin","","","","导入管理员-填写必填项","E:\Wondersoft_WebUITest\test_cases\features\bms\user_admin.feature: 导入管理员-填写必填项"
"passed","Tue Jun 11 13:54:40 CST 2024","Tue Jun 11 13:54:48 CST 2024","8530","test_cases.step_defs.bms","test_13_dlp_doc_rules","","","","删除关键字/正则规则","E:\Wondersoft_WebUITest\test_cases\features\bms\dlp_doc_rules.feature: 删除关键字/正则规则"
"passed","Tue Jun 11 13:51:01 CST 2024","Tue Jun 11 13:51:21 CST 2024","20277","test_cases.step_defs.bms","test_08_sys_param","","","","修改系统参数","E:\Wondersoft_WebUITest\test_cases\features\bms\sys_param.feature: 修改系统参数"
"passed","Tue Jun 11 13:57:24 CST 2024","Tue Jun 11 13:57:35 CST 2024","11606","test_cases.step_defs.bms","test_18_dlp_severity_level","","","","新增严重性等级","E:\Wondersoft_WebUITest\test_cases\features\bms\dlp_severity_level.feature: 新增严重性等级"
"passed","Tue Jun 11 13:44:23 CST 2024","Tue Jun 11 13:44:48 CST 2024","25038","test_cases.step_defs","test_login","","","","正确用户名和密码登录成功","E:\Wondersoft_WebUITest\test_cases\features\login.feature: 正确用户名和密码登录成功"
"passed","Tue Jun 11 13:48:27 CST 2024","Tue Jun 11 13:48:36 CST 2024","8883","test_cases.step_defs.bms","test_02_user_group","","","","删除用户组","E:\Wondersoft_WebUITest\test_cases\features\bms\user_group.feature: 删除用户组"
"passed","Tue Jun 11 13:52:40 CST 2024","Tue Jun 11 13:52:45 CST 2024","5342","test_cases.step_defs.bms","test_11_alarm_rules","","","","查看预置告警任务","E:\Wondersoft_WebUITest\test_cases\features\bms\alarm_rules.feature: 查看预置告警任务"
"passed","Tue Jun 11 13:54:49 CST 2024","Tue Jun 11 13:55:01 CST 2024","12956","test_cases.step_defs.bms","test_14_data_dict","","","","新增数据字典规则","E:\Wondersoft_WebUITest\test_cases\features\bms\data_dict.feature: 新增数据字典规则"
"passed","Tue Jun 11 13:55:07 CST 2024","Tue Jun 11 13:55:17 CST 2024","9603","test_cases.step_defs.bms","test_14_data_dict","","","","删除数据字典","E:\Wondersoft_WebUITest\test_cases\features\bms\data_dict.feature: 删除数据字典"
"passed","Tue Jun 11 13:52:58 CST 2024","Tue Jun 11 13:53:04 CST 2024","5554","test_cases.step_defs.bms","test_11_alarm_rules","","","","告警任务列表查询","E:\Wondersoft_WebUITest\test_cases\features\bms\alarm_rules.feature: 告警任务列表查询"
